2018-06-27 11:46:50 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:46:50 EDT 2018]; root of context hierarchy
2018-06-27 11:46:50 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:46:51 INFO  root:28 - Calculator.add(..)
2018-06-27 11:46:51 INFO  root:50 - 5.0 + 3.6 = 8.6
2018-06-27 11:46:51 INFO  root:28 - Calculator.subtract(..)
2018-06-27 11:46:51 INFO  root:50 - 3.0 - 8.0 = -5.0
2018-06-27 11:46:51 INFO  root:28 - Calculator.multiply(..)
2018-06-27 11:46:51 INFO  root:50 - 4.0 * 8.0 = 32.0
2018-06-27 11:51:02 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:51:02 EDT 2018]; root of context hierarchy
2018-06-27 11:51:02 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:51:03 INFO  root:28 - Calculator.add(..)
2018-06-27 11:51:03 INFO  root:50 - 5.0 + 3.6 = 8.6
2018-06-27 11:51:03 INFO  root:28 - Calculator.subtract(..)
2018-06-27 11:51:03 INFO  root:50 - 3.0 - 8.0 = -5.0
2018-06-27 11:51:03 INFO  root:28 - Calculator.multiply(..)
2018-06-27 11:51:03 INFO  root:50 - 4.0 * 8.0 = 32.0
2018-06-27 11:51:47 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:51:47 EDT 2018]; root of context hierarchy
2018-06-27 11:51:47 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:51:48 INFO  root:28 - Calculator.add(..)
2018-06-27 11:51:48 INFO  root:50 - 5.0 + 3.6 = 8.6
2018-06-27 11:51:48 INFO  root:28 - Calculator.subtract(..)
2018-06-27 11:51:48 INFO  root:50 - 3.0 - 8.0 = -5.0
2018-06-27 11:51:48 INFO  root:28 - Calculator.multiply(..)
2018-06-27 11:51:48 INFO  root:50 - 4.0 * 8.0 = 32.0
2018-06-27 11:51:55 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:51:55 EDT 2018]; root of context hierarchy
2018-06-27 11:51:55 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:51:56 INFO  root:29 - Calculator.add(..)
2018-06-27 11:51:56 INFO  root:51 - 5.0 + 3.6 = 8.6
2018-06-27 11:51:56 INFO  root:29 - Calculator.subtract(..)
2018-06-27 11:51:56 INFO  root:51 - 3.0 - 8.0 = -5.0
2018-06-27 11:51:56 INFO  root:29 - Calculator.multiply(..)
2018-06-27 11:51:56 INFO  root:51 - 4.0 * 8.0 = 32.0
2018-06-27 11:51:57 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:51:57 EDT 2018]; root of context hierarchy
2018-06-27 11:51:57 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:51:58 INFO  root:29 - Calculator.add(..)
2018-06-27 11:51:58 INFO  root:51 - 5.0 + 3.6 = 8.6
2018-06-27 11:51:58 INFO  root:29 - Calculator.subtract(..)
2018-06-27 11:51:58 INFO  root:51 - 3.0 - 8.0 = -5.0
2018-06-27 11:51:58 INFO  root:29 - Calculator.multiply(..)
2018-06-27 11:51:58 INFO  root:51 - 4.0 * 8.0 = 32.0
2018-06-27 11:51:58 INFO  root:29 - Calculator.divide(..)
2018-06-27 11:51:58 INFO  root:51 - 5.0 / 3.0 = 0.5
2018-06-27 11:54:47 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:54:47 EDT 2018]; root of context hierarchy
2018-06-27 11:54:47 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:54:48 INFO  root:38 - Calculator.add(..)
2018-06-27 11:54:48 INFO  root:60 - 5.0 + 3.6 = 8.6
2018-06-27 11:54:48 INFO  root:38 - Calculator.subtract(..)
2018-06-27 11:54:48 INFO  root:60 - 3.0 - 8.0 = -5.0
2018-06-27 11:54:48 INFO  root:38 - Calculator.multiply(..)
2018-06-27 11:54:48 INFO  root:60 - 4.0 * 8.0 = 32.0
2018-06-27 11:54:48 INFO  root:38 - Calculator.divide(..)
2018-06-27 11:54:48 INFO  root:60 - 5.0 / 3.0 = 1.6666666666666667
2018-06-27 11:55:02 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:55:02 EDT 2018]; root of context hierarchy
2018-06-27 11:55:02 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:55:03 INFO  root:38 - Calculator.add(..)
2018-06-27 11:55:03 INFO  root:60 - 5.0 + 3.6 = 8.6
2018-06-27 11:55:03 INFO  root:38 - Calculator.subtract(..)
2018-06-27 11:55:03 INFO  root:60 - 3.0 - 8.0 = -5.0
2018-06-27 11:55:03 INFO  root:38 - Calculator.multiply(..)
2018-06-27 11:55:03 INFO  root:60 - 4.0 * 8.0 = 32.0
2018-06-27 11:55:03 INFO  root:38 - Calculator.divide(..)
2018-06-27 11:55:03 INFO  root:60 - 5.0 / 0.0 = Infinity
